,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
380,Rad Bench,2019-07-17,"Independent, Critical Thinking, Ambitious","Indecisive, Selfish",True,True,True,Pass,Data,,,2.0,,,,1.0,,2.0
381,Agace O'Shields,2019-07-30,"Collaboration, Innovative","Undisciplined, Immature, Passive",True,True,True,Pass,Business,,,,,,,,1.0,1.0
382,Mela Burgill,2019-07-09,"Altruism, Organisation, Collaboration",Distracted,True,True,True,Pass,Business,,,,,,1.0,,3.0,
383,Justis Gilham,2019-07-25,"Altruism, Competitive, Critical Thinking","Competitive, Procrastination",True,True,True,Pass,Engineering,,,,6.0,2.0,,,3.0,4.0
384,Valery Delia,2019-07-24,"Composure, Rational",Anxious,False,True,True,Fail,Engineering,,2.0,3.0,,,2.0,,3.0,
385,Kylie Cordell,2019-07-18,Competitive,"Chaotic, Impulsive, Critical",True,True,True,Pass,Business,3.0,,,,,,,,
386,Emmett Stogill,2019-07-17,"Consistent, Perfectionism","Chaotic, Introverted",True,True,False,Fail,Engineering,1.0,,4.0,,6.0,,,,
387,Julianne Neagle,2019-07-09,"Perfectionism, Rational",Procrastination,True,True,True,Fail,Engineering,,2.0,,,5.0,1.0,7.0,,
388,Cobbie Wolfinger,2019-07-30,"Passionate, Organisation","Perfectionist, Immature, Indifferent",False,True,True,Fail,Data,1.0,,,,,,,2.0,
389,Blondy Fearnall,2019-07-04,"Efficient, Innovative",Introverted,True,True,True,Pass,Engineering,3.0,4.0,,4.0,4.0,,,,
390,Bowie Endersby,2019-07-16,Efficient,Indifferent,True,True,True,Pass,Data,1.0,,,,,,,,
391,Andrey Cochran,2019-07-24,"Innovative, Listening, Competitive","Perfectionist, Indecisive, Impatient",True,True,True,Pass,Data,2.0,,,,,,3.0,,
392,Letizia Mckern,2019-07-04,"Organisation, Charisma, Problem Solving","Distracted, Undisciplined",True,True,True,Pass,Business,,,,4.0,2.0,5.0,,,
393,Fons Ghiotto,2019-07-16,"Listening, Collaboration, Independent","Chaotic, Indecisive",True,True,True,Pass,Engineering,,3.0,,,,,,,2.0
394,Sal Inglesent,2019-07-04,"Perfectionism, Efficient, Passionate",Overbearing,True,True,True,Pass,Data,3.0,,,1.0,,6.0,6.0,,
395,Sela Pavese,2019-07-25,"Rational, Courteous",Passive,True,True,True,Fail,Business,,,4.0,,,5.0,2.0,2.0,1.0
396,Alison Tett,2019-07-10,"Versatile, Courteous","Overbearing, Impulsive",True,True,True,Pass,Business,2.0,,,,1.0,,,3.0,
397,Gabi Ivins,2019-07-04,"Creative, Charisma","Undisciplined, Indecisive, Critical",True,True,True,Pass,Business,,,2.0,7.0,1.0,,,1.0,3.0
398,Noe Fortnam,2019-07-09,Determined,"Competitive, Stubborn, Chatty",True,True,True,Pass,Engineering,,,3.0,1.0,1.0,,,,
399,Ronny Vasilchenko,2019-07-23,"Versatile, Curious, Determined","Indecisive, Impulsive",True,True,True,Pass,Business,,,1.0,,,1.0,,,
400,Blair Woollhead,2019-07-18,Organisation,Chatty,True,True,False,Fail,Engineering,,,,,5.0,,1.0,2.0,
401,Henrieta Chatto,2019-07-04,"Innovative, Versatile","Conventional, Undisciplined, Indifferent",True,True,True,Pass,Business,,3.0,,,,,,,
402,Eba Gary,2019-07-02,"Patient, Determined, Innovative","Indecisive, Controlling",True,True,True,Pass,Engineering,,,,,,,5.0,2.0,
403,Marcela Riding,2019-07-25,"Empathy, Competitive","Impulsive, Introverted",True,True,True,Pass,Business,,,,4.0,4.0,,,2.0,
404,Hewet Derwin,2019-07-11,Consistent,"Chaotic, Slow",True,True,True,Pass,Engineering,,,1.0,,,,3.0,,2.0
405,Demetria O' Sullivan,2019-07-18,"Perfectionism, Independent, Critical Thinking",Perfectionist,True,False,True,Fail,Data,,5.0,4.0,2.0,,,,4.0,3.0
406,Steffen Marcombe,2019-07-04,"Listening, Rational","Immature, Overbearing, Anxious",True,True,True,Pass,Business,5.0,,,,,,1.0,,4.0
407,Aguste Tann,2019-07-30,"Perfectionism, Charisma","Introverted, Controlling, Distracted",True,True,True,Pass,Business,,,,1.0,,,,,
408,D'Arcy Bover,2019-07-02,Creative,"Indifferent, Immature, Introverted",True,True,True,Pass,Engineering,6.0,,,3.0,,,4.0,,
409,Chadd Klampt,2019-07-03,"Patient, Perfectionism",Indecisive,True,True,True,Pass,Engineering,1.0,3.0,,2.0,,,,,4.0
410,Pren Varcoe,2019-07-30,"Determined, Listening","Critical, Impatient",False,True,True,Fail,Engineering,,,6.0,3.0,,2.0,,2.0,
411,Abraham Rockell,2019-07-02,Independent,"Overbearing, Critical, Controlling",True,True,True,Pass,Engineering,,,2.0,,3.0,,,3.0,
412,Laurette Hembling,2019-07-09,"Versatile, Determined, Problem Solving","Sensitive, Intolerant, Impulsive",False,True,True,Fail,Data,1.0,,3.0,1.0,2.0,1.0,4.0,,
413,Karlis Bottle,2019-07-18,Composure,Sensitive,False,True,False,Fail,Business,,,,,,,,,1.0
414,Wilhelm Jouanet,2019-07-11,Perfectionism,Immature,True,True,True,Pass,Data,,1.0,,,5.0,,,,
415,Peterus Bartolomeazzi,2019-07-25,Independent,Intolerant,True,True,True,Fail,Business,3.0,2.0,,,2.0,,1.0,,
416,Bari Streatfield,2019-07-11,Problem Solving,"Indifferent, Overbearing",True,True,True,Pass,Business,,,2.0,,,4.0,,,3.0
417,Teriann Matyashev,2019-07-04,Independent,"Undisciplined, Conventional",True,True,True,Pass,Business,,,1.0,,1.0,,1.0,,
418,Uriel Eidelman,2019-07-10,"Innovative, Patient","Competitive, Overbearing",True,True,True,Pass,Business,,,2.0,4.0,5.0,4.0,,,
419,Toddie Rubanenko,2019-07-03,"Collaboration, Organisation, Ambitious",Procrastination,True,True,True,Pass,Data,6.0,,,,2.0,,,,
420,Drake Northcote,2019-07-10,"Independent, Listening, Reliable",Indifferent,True,True,False,Fail,Engineering,4.0,,,,5.0,1.0,,2.0,
421,Engracia Andriolli,2019-07-30,"Rational, Organisation","Immature, Selfish, Impatient",True,False,True,Fail,Engineering,5.0,,,,4.0,,,,
422,Cristina Finlan,2019-07-31,"Creative, Consistent","Introverted, Indecisive, Procrastination",True,True,True,Pass,Business,,,,3.0,2.0,,,,1.0
423,Markos Walter,2019-07-16,"Versatile, Organisation, Critical Thinking","Selfish, Slow",True,True,True,Pass,Data,,,,,,,,,
424,Ofilia Keizman,2019-07-17,Courteous,"Anxious, Sensitive, Passive",True,True,True,Pass,Business,,5.0,,1.0,2.0,,,,1.0
425,Chev Spillane,2019-07-02,"Organisation, Creative, Consistent",Stubborn,True,True,True,Pass,Engineering,,,,3.0,,7.0,,5.0,
426,Beauregard Cornehl,2019-07-02,"Collaboration, Rational","Distracted, Immature, Stubborn",True,True,True,Pass,Business,3.0,,,,,,,,1.0
427,Barclay Morter,2019-07-30,"Collaboration, Competitive",Impulsive,False,True,True,Fail,Business,3.0,5.0,,,4.0,2.0,,,1.0
428,Clary Hertwell,2019-07-30,"Patient, Collaboration, Competitive",Indifferent,False,True,True,Fail,Business,,,,,3.0,2.0,5.0,,
429,Jessy Dollman,2019-07-09,"Versatile, Composure",Competitive,True,True,True,Pass,Data,,9.0,,,3.0,,5.0,,
430,Sibyl Gilardi,2019-07-03,Altruism,Overbearing,True,True,True,Fail,Business,,4.0,,4.0,1.0,,,,
431,Haywood Teager,2019-07-03,"Composure, Efficient","Conventional, Perfectionist",True,True,True,Pass,Engineering,,3.0,,,3.0,2.0,1.0,4.0,3.0
432,Doretta Henner,2019-07-18,Altruism,Overbearing,True,True,True,Pass,Business,1.0,,,,,6.0,,,
433,Niall Graine,2019-07-04,"Altruism, Perfectionism","Perfectionist, Controlling",True,True,True,Pass,Business,,,,,,,,5.0,
434,Karel Toulamain,2019-07-10,"Determined, Reliable, Creative","Anxious, Immature, Competitive",False,True,True,Fail,Data,1.0,,,3.0,,,3.0,,
435,Iosep Idle,2019-07-03,"Collaboration, Problem Solving, Organisation","Distracted, Stubborn",True,True,True,Pass,Data,4.0,5.0,,4.0,4.0,,,2.0,
436,Duky Shailer,2019-07-02,"Empathy, Efficient, Listening",Competitive,False,True,False,Fail,Data,,,1.0,5.0,1.0,,,5.0,
437,Christie Blincoe,2019-07-31,"Innovative, Charisma, Critical Thinking","Critical, Indecisive, Immature",True,True,True,Pass,Business,,,,,4.0,,,,2.0
438,Rik Waren,2019-07-11,"Charisma, Critical Thinking","Chaotic, Sensitive",True,True,True,Pass,Data,1.0,,,,,,3.0,9.0,1.0
439,Zelda Prestage,2019-07-10,"Courteous, Organisation, Listening","Perfectionist, Overbearing",True,True,True,Fail,Business,1.0,,,,,,,,3.0
440,Dannel Longmaid,2019-07-18,"Efficient, Consistent","Competitive, Impulsive",True,True,True,Pass,Engineering,,,,3.0,,4.0,1.0,8.0,
441,Ira Grima,2019-07-25,"Courteous, Passionate, Empathy","Immature, Chaotic",False,True,True,Fail,Engineering,2.0,,5.0,2.0,2.0,,,,1.0
442,Vivyan Robuchon,2019-07-11,"Composure, Listening","Selfish, Chaotic",True,False,True,Fail,Engineering,,,,1.0,,,4.0,,
443,Gardner Estick,2019-07-31,"Composure, Organisation, Consistent",Introverted,True,True,True,Pass,Engineering,,,,,,,,3.0,1.0
444,Darin Healing,2019-07-04,Composure,Chatty,True,True,True,Pass,Engineering,3.0,,6.0,,2.0,,3.0,,2.0
445,Teena Priel,2019-07-18,"Determined, Curious","Sensitive, Passive, Impulsive",True,False,False,Fail,Business,2.0,4.0,,,,,2.0,,2.0
446,Katinka Tyt,2019-07-18,"Innovative, Competitive","Slow, Chatty",True,True,True,Pass,Data,,1.0,,,,,,,3.0
447,Maxy Bensen,2019-07-18,"Reliable, Rational, Independent",Indifferent,True,True,True,Pass,Engineering,3.0,1.0,5.0,,4.0,4.0,,,4.0
448,Donnie Sandwick,2019-07-04,Determined,Sensitive,True,True,False,Fail,Data,,,2.0,,,3.0,,3.0,
449,Natasha Christol,2019-07-31,"Creative, Collaboration","Selfish, Impatient, Chatty",False,True,True,Fail,Data,3.0,1.0,,2.0,,,,,2.0
450,Scarlett Roarty,2019-07-23,Curious,"Indecisive, Anxious, Sensitive",True,True,True,Pass,Data,,,2.0,,,,,,1.0
451,Hurlee Hesey,2019-07-25,"Reliable, Versatile, Innovative","Passive, Conventional",True,True,False,Fail,Engineering,,,2.0,,2.0,,,,
452,Yehudit Killingbeck,2019-07-30,"Ambitious, Determined",Sensitive,True,True,False,Fail,Engineering,,,1.0,,,5.0,,,2.0
453,Riannon Baraclough,2019-07-31,"Reliable, Empathy, Curious",Controlling,True,True,True,Pass,Business,,3.0,1.0,,3.0,,3.0,,
454,Shay Obee,2019-07-11,"Determined, Empathy, Organisation",Procrastination,True,True,True,Pass,Business,,1.0,,,,,,1.0,4.0
455,Collete Causbey,2019-07-03,"Composure, Independent","Passive, Slow",True,True,True,Pass,Business,1.0,2.0,,,4.0,4.0,,,1.0
456,Tallia Rushford,2019-07-31,Versatile,Chaotic,True,True,False,Fail,Data,2.0,,,6.0,,5.0,,,
457,Angelica Neissen,2019-07-31,"Collaboration, Charisma",Distracted,True,True,True,Fail,Business,1.0,5.0,,,8.0,,1.0,,
458,Merwyn Gossop,2019-07-18,"Consistent, Competitive, Charisma",Competitive,True,True,True,Pass,Business,,,,3.0,,,,,
459,Luca Gokes,2019-07-09,"Passionate, Altruism",Procrastination,False,True,True,Fail,Data,,5.0,,,2.0,,,,
460,Judon Henze,2019-07-10,"Listening, Competitive, Charisma",Controlling,True,True,True,Pass,Engineering,,,2.0,,6.0,,,3.0,3.0
461,Mirilla Bottinelli,2019-07-16,Altruism,Chatty,True,True,True,Pass,Data,1.0,,,,,2.0,4.0,3.0,
462,Cordie Duckering,2019-07-25,"Problem Solving, Reliable, Consistent","Passive, Introverted, Anxious",True,True,True,Pass,Business,,,2.0,,2.0,,,1.0,6.0
463,Dorian Hamshar,2019-07-09,"Curious, Organisation, Versatile",Undisciplined,True,True,True,Pass,Business,,,,,2.0,4.0,,,
464,Anet Satterley,2019-07-30,"Efficient, Charisma","Intolerant, Chatty, Chaotic",True,True,True,Pass,Business,,,1.0,,,,,,
465,Stanislaus Sendley,2019-07-30,"Innovative, Composure","Impatient, Impulsive",True,True,True,Pass,Engineering,5.0,,,2.0,,,,,1.0
466,Patrizia Wyre,2019-07-17,Reliable,Stubborn,True,True,True,Pass,Business,,6.0,2.0,,,3.0,,,
467,Rodolfo Garret,2019-07-16,"Curious, Passionate","Controlling, Impatient",True,True,True,Pass,Data,,,4.0,,7.0,3.0,3.0,4.0,5.0
468,Waverley Deacock,2019-07-02,"Empathy, Organisation","Impulsive, Stubborn, Distracted",True,True,True,Pass,Engineering,1.0,,1.0,3.0,1.0,,,,2.0
469,Langston Adamski,2019-07-31,Listening,"Intolerant, Overbearing",True,True,True,Pass,Engineering,,,1.0,,6.0,,,5.0,3.0
470,Annabela Brackenridge,2019-07-23,"Altruism, Passionate, Rational","Slow, Impatient",True,True,True,Pass,Engineering,,4.0,,,,5.0,,,
471,Amerigo Heys,2019-07-31,"Competitive, Collaboration","Distracted, Competitive",True,True,True,Pass,Engineering,,,,3.0,2.0,,4.0,,1.0
472,Sorcha Argue,2019-07-02,"Passionate, Empathy","Anxious, Indifferent",True,True,True,Pass,Data,,3.0,,2.0,,,,,3.0
473,Miguelita Smedley,2019-07-10,"Listening, Altruism, Problem Solving","Indifferent, Undisciplined",True,True,True,Pass,Data,,3.0,,,,,3.0,,
474,Weylin Comolli,2019-07-10,"Creative, Perfectionism, Passionate",Overbearing,True,True,True,Pass,Business,,3.0,,,1.0,,,,
475,Raimondo Mellodey,2019-07-24,"Organisation, Passionate, Consistent",Passive,True,True,True,Pass,Business,,,3.0,,4.0,,,,1.0
476,Courtnay Duiged,2019-07-17,"Competitive, Collaboration, Courteous",Immature,True,True,False,Fail,Business,,,,,,1.0,4.0,5.0,
477,Sarena Weatherill,2019-07-17,"Altruism, Efficient, Rational","Competitive, Distracted, Impatient",True,True,False,Fail,Business,,,4.0,,,3.0,,,1.0
478,Celina Polley,2019-07-18,"Empathy, Listening, Competitive","Sensitive, Intolerant, Overbearing",True,True,True,Pass,Data,,2.0,,,3.0,,4.0,1.0,
479,Daloris Cotesford,2019-07-10,Versatile,Intolerant,True,True,True,Pass,Business,,,2.0,2.0,,,1.0,,
480,Natalie Norwich,2019-07-31,"Problem Solving, Critical Thinking","Intolerant, Chatty, Indecisive",True,True,True,Pass,Data,7.0,1.0,,,,,6.0,,
481,Kerstin Couper,2019-07-23,Courteous,Overbearing,True,True,True,Pass,Data,,,1.0,1.0,,4.0,4.0,,2.0
482,Keen Tripony,2019-07-03,Efficient,"Chaotic, Anxious",True,True,True,Pass,Business,,,,,,,,,
483,Ody Paroni,2019-07-18,"Composure, Reliable, Creative","Conventional, Chatty",True,True,True,Pass,Data,,,4.0,,,,,,
484,Rodolfo Drillot,2019-07-03,Listening,"Passive, Chatty, Indecisive",True,True,True,Pass,Business,,1.0,,,3.0,,5.0,,1.0
485,Derward Wyllt,2019-07-03,"Collaboration, Independent, Ambitious","Procrastination, Perfectionist",True,False,False,Fail,Business,,6.0,1.0,,5.0,,,,1.0
486,Amil Lidden,2019-07-09,Charisma,Competitive,False,True,True,Fail,Data,,,,,,,,,
487,Salim Sarra,2019-07-10,"Courteous, Rational, Problem Solving","Slow, Competitive, Indecisive",True,True,True,Pass,Data,,,8.0,5.0,,,,,
488,Horatius Branch,2019-07-11,"Composure, Courteous, Passionate",Intolerant,True,True,True,Pass,Data,6.0,2.0,,,,3.0,3.0,,3.0
489,Frankie Boseley,2019-07-02,"Problem Solving, Patient",Impatient,True,True,True,Pass,Engineering,,,3.0,,,,2.0,,
490,Bayard Stuckow,2019-07-09,Curious,"Critical, Conventional",True,True,True,Pass,Data,,,,,4.0,,,,
491,Babita Tabourin,2019-07-18,"Innovative, Listening, Perfectionism","Critical, Slow, Indifferent",False,True,True,Fail,Engineering,3.0,,3.0,,,,3.0,2.0,3.0
492,Job Restall,2019-07-10,"Rational, Perfectionism, Curious","Competitive, Distracted, Selfish",True,True,True,Pass,Data,,1.0,,,3.0,,,,
493,Evin De Roeck,2019-07-17,"Perfectionism, Patient, Creative","Anxious, Slow, Introverted",True,True,True,Pass,Engineering,,,1.0,,,,,,
494,Leopold Boichat,2019-07-25,Critical Thinking,"Impatient, Slow, Selfish",True,True,True,Pass,Engineering,,,,,,4.0,,,
495,Nevil Penhaligon,2019-07-24,"Creative, Problem Solving","Sensitive, Perfectionist, Overbearing",True,True,True,Pass,Engineering,,,1.0,,,1.0,,,
496,Thorin Eskriet,2019-07-10,"Innovative, Patient",Impatient,True,True,True,Fail,Business,,,7.0,,,3.0,,,1.0
497,Kathy Capstack,2019-07-18,"Organisation, Competitive, Reliable","Indifferent, Competitive",True,True,True,Pass,Engineering,,2.0,,,,,,,
498,Floris Rizzetti,2019-07-11,"Altruism, Problem Solving, Versatile","Conventional, Indecisive, Stubborn",True,True,True,Pass,Engineering,,,3.0,,,1.0,,,
499,Ollie Pinniger,2019-07-09,Perfectionism,"Controlling, Stubborn",True,True,True,Pass,Business,1.0,3.0,,6.0,,,6.0,,1.0
500,Rancell Lill,2019-07-18,"Collaboration, Charisma, Critical Thinking",Competitive,True,True,True,Pass,Engineering,,,,,,,,,
501,Van Chesshyre,2019-07-09,Independent,"Indecisive, Sensitive, Anxious",True,True,True,Pass,Business,2.0,,,,,,4.0,,5.0
502,Vivienne Blakelock,2019-07-10,"Problem Solving, Patient","Slow, Chatty, Indecisive",True,True,True,Pass,Business,,,,,,,,3.0,
503,Brad Coleyshaw,2019-07-30,"Listening, Versatile",Anxious,True,True,True,Pass,Engineering,,,,1.0,,,,,
504,Adelaida Pirson,2019-07-11,"Versatile, Reliable, Consistent",Undisciplined,True,True,True,Pass,Data,,,,6.0,3.0,4.0,,,
505,Alli Ludewig,2019-07-16,Courteous,"Passive, Overbearing, Sensitive",True,True,True,Pass,Engineering,3.0,,2.0,,,2.0,,7.0,
506,Elnore Schwandner,2019-07-16,"Composure, Competitive","Indecisive, Distracted",True,True,True,Pass,Business,,,,,,,5.0,,2.0
507,Sandor Swatradge,2019-07-18,"Organisation, Problem Solving","Slow, Conventional",True,True,True,Fail,Business,,,4.0,3.0,,,,2.0,
508,Benjamin Chastand,2019-07-31,"Creative, Patient, Composure","Conventional, Indecisive, Undisciplined",True,True,True,Pass,Engineering,,,,5.0,,2.0,,,
509,Coleman Martynka,2019-07-25,"Empathy, Collaboration","Impulsive, Immature, Selfish",True,True,True,Pass,Data,,4.0,,2.0,7.0,3.0,,,
510,Alistair Scanes,2019-07-23,Problem Solving,Controlling,True,True,True,Pass,Engineering,2.0,4.0,2.0,,4.0,,,,1.0
511,Gradeigh Hamblin,2019-07-16,"Innovative, Altruism, Determined","Distracted, Selfish",True,True,False,Fail,Engineering,2.0,,,5.0,7.0,2.0,1.0,,
512,Clementine Greedier,2019-07-24,"Collaboration, Efficient",Selfish,True,True,True,Pass,Engineering,,,,3.0,3.0,2.0,5.0,,
513,Dyna Sange,2019-07-04,Reliable,"Slow, Chatty, Introverted",True,True,False,Fail,Engineering,1.0,,4.0,,,,6.0,,3.0
514,Aggie Remmers,2019-07-30,"Composure, Reliable, Consistent",Overbearing,True,True,True,Pass,Business,1.0,,,4.0,,3.0,,5.0,
515,Randie Klimashevich,2019-07-10,"Consistent, Composure",Undisciplined,True,True,True,Pass,Data,,1.0,,,,,,,2.0
516,Laird Grece,2019-07-17,"Composure, Innovative","Conventional, Procrastination",False,True,True,Fail,Engineering,,2.0,,,6.0,,,,1.0
517,Abelard Cardenas,2019-07-09,"Courteous, Composure","Procrastination, Indecisive",True,True,True,Fail,Business,,4.0,,2.0,,,,,1.0
518,Maje Vallis,2019-07-10,Competitive,Impatient,True,True,True,Pass,Engineering,,1.0,,1.0,,,,,
519,Thoma Bolesworth,2019-07-04,"Courteous, Problem Solving, Rational",Competitive,True,True,True,Pass,Data,,3.0,,3.0,,,,,
520,Kris Whaley,2019-07-30,"Altruism, Consistent","Slow, Indecisive",False,True,True,Fail,Business,,,,,3.0,6.0,,,
521,Elsworth Bendtsen,2019-07-31,"Determined, Charisma, Composure","Procrastination, Controlling",True,True,True,Pass,Engineering,2.0,,,5.0,,,6.0,,
522,Honor Huntall,2019-07-02,"Composure, Patient",Conventional,True,True,True,Pass,Engineering,,,,,2.0,,2.0,,
523,Paulina Tear,2019-07-17,"Courteous, Rational, Creative","Intolerant, Anxious",False,True,True,Fail,Business,,,,,,,,,3.0
524,Kirsten Spelman,2019-07-30,Composure,"Stubborn, Procrastination, Passive",True,True,True,Pass,Data,,,,,1.0,3.0,,,
525,Yankee Northing,2019-07-02,"Critical Thinking, Versatile",Controlling,True,True,True,Pass,Data,5.0,2.0,3.0,,,1.0,,,
526,Noby Vacher,2019-07-04,"Composure, Collaboration, Versatile",Controlling,True,True,False,Fail,Business,,,,2.0,,,5.0,,1.0
527,Bevon Detoile,2019-07-03,"Ambitious, Charisma",Indecisive,True,True,True,Pass,Business,,,4.0,,,4.0,,,
528,Weylin Swatradge,2019-07-03,Patient,Impatient,False,True,False,Fail,Business,,2.0,1.0,,,,4.0,,
529,Berti Nayer,2019-07-02,"Creative, Consistent",Indifferent,True,True,True,Pass,Data,1.0,3.0,5.0,,1.0,,,,2.0
530,Adaline Durtnell,2019-07-30,"Patient, Organisation, Efficient",Perfectionist,True,False,False,Fail,Data,4.0,2.0,,1.0,4.0,,4.0,,
531,Oralia Chaikovski,2019-07-25,"Versatile, Courteous, Listening","Indifferent, Distracted, Chaotic",False,True,True,Fail,Engineering,,,,,3.0,,,,
532,Ester Mcterrelly,2019-07-11,Organisation,"Anxious, Indecisive, Passive",False,True,True,Fail,Data,,2.0,4.0,3.0,3.0,,4.0,3.0,2.0
533,Lee Bernocchi,2019-07-03,"Rational, Composure","Intolerant, Controlling",True,False,True,Fail,Engineering,2.0,,,,4.0,2.0,,2.0,
534,Clarke Cradoc,2019-07-25,"Critical Thinking, Organisation, Perfectionism","Perfectionist, Indifferent, Anxious",True,True,True,Pass,Engineering,,1.0,,,3.0,,3.0,,1.0
535,Dun Kurth,2019-07-09,"Listening, Courteous","Overbearing, Undisciplined",True,True,False,Fail,Data,,1.0,,,,,,,
536,Drusy Benny,2019-07-02,Competitive,"Impulsive, Undisciplined",True,True,True,Pass,Data,,4.0,,,,4.0,3.0,,
537,Maxie Thairs,2019-07-03,Problem Solving,Critical,False,True,False,Fail,Business,,,2.0,3.0,,3.0,4.0,,1.0
538,Lurline Stirtle,2019-07-11,Ambitious,"Conventional, Intolerant, Chatty",True,True,True,Pass,Business,,,5.0,,,1.0,,,
539,Marna Matskevich,2019-07-30,Rational,Slow,True,True,True,Pass,Business,,2.0,,,,4.0,,3.0,
540,Ara Loggie,2019-07-02,"Ambitious, Collaboration",Undisciplined,True,True,True,Pass,Data,,1.0,4.0,,,,,,
541,Brewer Calderbank,2019-07-16,"Reliable, Rational, Charisma","Immature, Undisciplined, Perfectionist",True,True,True,Pass,Engineering,,3.0,,2.0,,,,,1.0
542,Eberhard Cattemull,2019-07-30,"Altruism, Composure",Selfish,True,True,True,Pass,Data,1.0,4.0,,,1.0,4.0,,,
543,Tuesday Tasseler,2019-07-09,"Charisma, Critical Thinking, Problem Solving",Overbearing,True,True,True,Pass,Data,,,1.0,,3.0,,,,
544,Brodie Chipperfield,2019-07-24,"Efficient, Competitive","Slow, Distracted",True,True,True,Pass,Engineering,,,,,2.0,4.0,2.0,4.0,1.0
545,Hill Tiplady,2019-07-03,Patient,Procrastination,False,True,True,Fail,Data,3.0,,,,,,,,
546,Briggs Logsdail,2019-07-18,Consistent,Impatient,True,False,True,Fail,Data,,4.0,,,,,,,
547,Adela Paley,2019-07-23,"Ambitious, Efficient, Versatile",Anxious,True,True,True,Pass,Data,,4.0,,,2.0,,3.0,2.0,
548,Meyer Dobbison,2019-07-30,"Rational, Listening","Chaotic, Competitive",True,True,False,Fail,Engineering,2.0,5.0,,,1.0,,3.0,,
549,Sherlocke Baselio,2019-07-02,"Creative, Innovative, Collaboration","Controlling, Undisciplined",True,True,True,Pass,Business,,,,2.0,,6.0,3.0,,
550,Amalea Ughi,2019-07-02,"Innovative, Altruism, Consistent","Introverted, Passive",True,True,True,Pass,Business,,,,,,,2.0,5.0,1.0
551,Julia Taile,2019-07-02,Consistent,"Procrastination, Conventional",True,False,True,Fail,Business,,,,,,,4.0,,1.0
552,Eden Chattock,2019-07-09,"Listening, Composure","Impulsive, Undisciplined",True,True,True,Pass,Engineering,,,,,1.0,3.0,,,
553,Rois Covey,2019-07-25,"Composure, Determined","Controlling, Competitive, Conventional",True,True,True,Fail,Business,6.0,2.0,2.0,,,4.0,3.0,,1.0
554,Avictor Moorey,2019-07-17,"Empathy, Versatile, Organisation",Slow,True,False,True,Fail,Business,3.0,2.0,,,,4.0,,,2.0
555,Regina Calver,2019-07-31,"Organisation, Curious",Sensitive,True,True,True,Pass,Data,2.0,,2.0,,,3.0,3.0,,
556,Lonnard O'Neill,2019-07-18,"Charisma, Determined","Procrastination, Competitive",True,True,True,Pass,Data,,4.0,,2.0,,1.0,,,2.0
557,Ardis Staniland,2019-07-02,Altruism,Chaotic,True,True,False,Fail,Data,3.0,,3.0,,,,7.0,,
558,Bill Pendlebury,2019-07-18,Creative,"Chatty, Distracted, Impulsive",True,True,False,Fail,Business,6.0,,2.0,,5.0,,,,3.0
559,Allyce Attwill,2019-07-25,"Rational, Competitive","Conventional, Slow, Anxious",True,True,True,Pass,Engineering,,1.0,3.0,,,,2.0,,1.0
560,Belle Catherall,2019-07-11,"Efficient, Patient","Chatty, Competitive",True,True,True,Pass,Data,2.0,4.0,4.0,,1.0,7.0,5.0,,
561,Layne Mcaline,2019-07-25,Rational,"Introverted, Perfectionist, Critical",True,True,False,Fail,Business,4.0,1.0,5.0,2.0,2.0,,1.0,1.0,
562,Ulrikaumeko Bowsher,2019-07-16,"Curious, Problem Solving","Chatty, Impatient, Controlling",True,True,True,Pass,Data,3.0,,2.0,7.0,,,,,
563,Lory Bruckman,2019-07-11,"Problem Solving, Creative, Versatile","Slow, Anxious",True,True,True,Pass,Data,3.0,2.0,,,,,,4.0,
564,Rufe Devon,2019-07-11,Consistent,"Controlling, Impatient, Critical",True,True,True,Pass,Data,3.0,,,,,4.0,,,2.0
565,Abbott Dodgshon,2019-07-18,"Innovative, Creative","Indifferent, Procrastination",True,True,True,Pass,Engineering,,2.0,,,,5.0,,,
566,Antonie Coram,2019-07-25,"Efficient, Reliable, Perfectionism","Chatty, Impatient",True,True,True,Pass,Data,,2.0,,3.0,2.0,1.0,,,
567,Cinnamon Gilkison,2019-07-09,Rational,Overbearing,True,True,True,Fail,Business,,,,2.0,2.0,1.0,,,3.0
568,Dewitt Milborn,2019-07-24,Independent,"Distracted, Perfectionist, Indecisive",True,True,True,Pass,Data,,,,,,,,1.0,
569,Claude Duran,2019-07-02,Curious,"Immature, Impulsive",True,False,True,Fail,Data,5.0,,,,1.0,,,1.0,
570,Nadya Pineaux,2019-07-23,"Ambitious, Altruism, Reliable",Indecisive,True,True,True,Pass,Data,3.0,,1.0,,,,3.0,3.0,
571,Nani Measom,2019-07-25,"Composure, Efficient","Passive, Conventional, Indecisive",True,True,False,Fail,Data,,,1.0,,,,1.0,1.0,
572,Ches Wahlberg,2019-07-23,Courteous,"Overbearing, Critical, Sensitive",True,True,True,Pass,Engineering,,,,,,1.0,4.0,6.0,2.0
