name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
Gabbey Caesman,Macey Broughton,3,4,1,8,2,4,3.0,4.0,4.0,4.0,7.0,8.0,1.0,4.0,3.0,7.0,4.0,3.0,3.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,3.0,5.0,3.0,8.0,6.0,8.0,4.0,5.0,5.0,4.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0
Conny Samms,Mohammad Velazquez,1,4,1,4,3,5,1.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karyn Huortic,Mohammad Velazquez,4,4,1,3,4,2,3.0,2.0,4.0,8.0,2.0,5.0,4.0,5.0,4.0,1.0,2.0,2.0,6.0,5.0,8.0,3.0,2.0,4.0,8.0,4.0,2.0,8.0,8.0,8.0,7.0,3.0,3.0,7.0,3.0,1.0,8.0,8.0,8.0,8.0,6.0,7.0,5.0,8.0,6.0,8.0,8.0,8.0,,,,,,,,,,,,
Giacopo Kyndred,Mohammad Velazquez,1,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Lung,Mohammad Velazquez,1,2,5,2,4,2,2.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marja Morfield,Mohammad Velazquez,3,5,2,5,1,3,2.0,1.0,3.0,1.0,2.0,8.0,3.0,4.0,3.0,4.0,2.0,1.0,8.0,6.0,3.0,8.0,5.0,8.0,8.0,8.0,8.0,6.0,4.0,4.0,8.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,4.0,8.0,,,,,,,,,,,,
Gussy Stoving,Mohammad Velazquez,1,3,1,4,3,1,5.0,5.0,4.0,3.0,1.0,5.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,8.0,4.0,6.0,5.0,6.0,5.0,4.0,3.0,5.0,5.0,8.0,4.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
Leena Joselevitch,Mohammad Velazquez,3,3,5,7,4,1,1.0,3.0,2.0,5.0,1.0,2.0,6.0,7.0,1.0,4.0,5.0,1.0,7.0,8.0,6.0,8.0,7.0,4.0,8.0,8.0,4.0,6.0,5.0,7.0,8.0,5.0,4.0,2.0,7.0,5.0,7.0,5.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Lazare Nellies,Mohammad Velazquez,2,2,4,2,5,1,4.0,6.0,1.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,7.0,6.0,8.0,8.0,2.0,8.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0,8.0,3.0,8.0,8.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,,,,,,,,,,,,
Flore Masden,Mohammad Velazquez,2,4,3,1,3,4,5.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benita Downgate,Mohammad Velazquez,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Kovacs,Mohammad Velazquez,1,1,3,2,2,6,4.0,2.0,3.0,6.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,6.0,8.0,4.0,8.0,8.0,4.0,7.0,8.0,5.0,4.0,8.0,8.0,4.0,7.0,8.0,4.0,6.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,,,,,,,,,,,,
Horten Koomar,Mohammad Velazquez,4,2,1,3,2,3,4.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,1.0,4.0,5.0,8.0,4.0,5.0,3.0,6.0,5.0,8.0,8.0,7.0,3.0,8.0,5.0,6.0,6.0,6.0,6.0,5.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
Moritz Mosedall,Mohammad Velazquez,1,1,5,1,2,6,5.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,6.0,1.0,8.0,6.0,8.0,5.0,5.0,3.0,6.0,8.0,7.0,7.0,4.0,2.0,7.0,4.0,5.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,5.0,4.0,8.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,
Chaim Inseal,Mohammad Velazquez,1,3,3,4,1,2,3.0,3.0,5.0,5.0,7.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,7.0,6.0,5.0,7.0,8.0,8.0,2.0,6.0,6.0,8.0,8.0,4.0,2.0,5.0,4.0,8.0,4.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,8.0,8.0,,,,,,,,,,,,
Gertruda Syddie,Mohammad Velazquez,3,1,2,8,1,4,2.0,4.0,3.0,1.0,3.0,1.0,6.0,2.0,1.0,2.0,3.0,8.0,6.0,8.0,3.0,5.0,8.0,5.0,8.0,4.0,6.0,2.0,3.0,2.0,6.0,8.0,6.0,8.0,7.0,8.0,8.0,3.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,,,,,,,,,,,,
Thom Derwin,Mohammad Velazquez,3,7,3,3,3,1,2.0,7.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,6.0,5.0,4.0,4.0,5.0,3.0,6.0,8.0,4.0,3.0,8.0,3.0,8.0,5.0,5.0,3.0,5.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,8.0,8.0,8.0,,,,,,,,,,,,
Godfry Sephton,Mohammad Velazquez,4,2,5,1,1,2,4.0,1.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,8.0,6.0,5.0,8.0,3.0,8.0,5.0,5.0,5.0,7.0,5.0,4.0,1.0,5.0,4.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,,,,,,,,,,,,
